Date,Open,High,Low,Close,Volume,Value,Change,Ticker
2020-11-25,67900,68300,66500,66600,32447065,2185553286350,-1.62,005930
2020-11-26,66100,68000,66000,68000,19023323,1279790447375,2.1,005930
2020-11-27,68000,68400,67600,68200,14063434,957450603551,0.29,005930
2020-11-30,68400,68600,66700,66700,43811016,2946475687804,-2.2,005930
2020-12-01,67100,68300,67100,67800,22327173,1513603485956,1.65,005930
2020-12-02,68400,69900,68300,69500,29703942,2060700628380,2.51,005930
2020-12-03,70100,70500,69300,69700,23677989,1654493266700,0.29,005930
2020-12-04,70400,72100,70100,71500,28130533,2010489248016,2.58,005930
2020-12-07,72400,73500,71900,72900,28490496,2071956768562,1.96,005930
2020-12-08,72200,72900,71600,71700,25000338,1804281313280,-1.65,005930
2020-12-09,72100,73900,72000,73900,24077996,1758752959520,3.07,005930
2020-12-10,72700,73800,72500,72900,39882928,2916536731883,-1.35,005930
2020-12-11,73500,73800,73100,73400,18486672,1356958867500,0.69,005930
2020-12-14,73600,74500,73200,73800,21510415,1590299594150,0.54,005930
2020-12-15,73800,74100,73300,73800,20863671,1538015446864,0.0,005930
2020-12-16,74100,74500,73400,73800,17512081,1291858716200,0.0,005930
2020-12-17,73400,73700,72600,73300,24293214,1777212529448,-0.68,005930
2020-12-18,73300,73700,73000,73000,17613029,1289758794110,-0.41,005930
2020-12-21,73100,73400,72000,73000,20367355,1477330803829,0.0,005930
2020-12-22,72500,73200,72100,72300,16304910,1183242835700,-0.96,005930
2020-12-23,72400,74000,72300,73900,19411326,1419205113900,2.21,005930
2020-12-24,74100,78800,74000,77800,32502870,2486986812800,5.28,005930
2020-12-28,79000,80100,78200,78700,40085044,3172810866091,1.16,005930
2020-12-29,78800,78900,77300,78300,30339449,2368814098000,-0.51,005930
2020-12-30,77400,81300,77300,81000,29417421,2344317462700,3.45,005930
2021-01-04,81000,84400,80200,83000,38655276,3185356823460,2.47,005930
2021-01-05,81600,83900,81600,83900,35335669,2915618322800,1.08,005930
2021-01-06,83300,84500,82100,82200,42089013,3506903681680,-2.03,005930
2021-01-07,82800,84200,82700,82900,32644642,2726112459660,0.85,005930
2021-01-08,83300,90000,83000,88800,59013307,5083939899952,7.12,005930
2021-01-11,90000,96800,89500,91000,90306177,8379237727064,2.48,005930
2021-01-12,90300,91400,87800,90600,48682416,4362546108950,-0.44,005930
2021-01-13,89800,91200,89100,89700,36068848,3244066562850,-0.99,005930
2021-01-14,88700,90000,88700,89700,26393970,2356661622700,0.0,005930
2021-01-15,89800,91800,88000,88000,33431809,2975231937664,-1.9,005930
2021-01-18,86600,87300,84100,85000,43227951,3715775992600,-3.41,005930
2021-01-19,84500,88000,83600,87000,39895044,3441342754500,2.35,005930
2021-01-20,89000,89000,86500,87200,25211127,2205739149700,0.23,005930
2021-01-21,87500,88600,86500,88100,25318011,2211209788500,1.03,005930
2021-01-22,89000,89700,86800,86800,30861661,2717635251520,-1.48,005930
2021-01-25,87000,89900,86300,89400,27258534,2410066876846,3.0,005930
2021-01-26,88800,89200,86500,86700,33178936,2899318433100,-3.02,005930
2021-01-27,86600,87700,85600,85600,26423070,2282487598000,-1.27,005930
2021-01-28,83200,85600,83200,83700,31859808,2676569098000,-2.22,005930
2021-01-29,84500,85000,82000,82000,39615978,3292344404628,-2.03,005930
2021-02-01,81700,83400,81000,83000,28046832,2311656941176,1.22,005930
2021-02-02,84100,86400,83700,84400,26302077,2234863449476,1.69,005930
2021-02-03,84800,85400,83400,84600,22112205,1864450334050,0.24,005930
2021-02-04,83500,83800,82100,82500,24171688,2000202343000,-2.48,005930
2021-02-05,83100,84000,82500,83500,18036835,1499217618600,1.21,005930
2021-02-08,83800,84200,83000,83000,15338765,1281925400900,-0.6,005930
2021-02-09,84000,84800,82700,82700,20898332,1748440766360,-0.36,005930
2021-02-10,82600,82600,81600,81600,23025766,1888591264669,-1.33,005930
2021-02-15,83800,84500,83300,84200,23529706,1978336504100,3.19,005930
2021-02-16,84500,86000,84200,84900,20483100,1740792201903,0.83,005930
2021-02-17,83900,84200,83000,83200,18307735,1526409421172,-2.0,005930
2021-02-18,83200,83600,82100,82100,21327683,1762033944231,-1.32,005930
2021-02-19,82300,82800,81000,82600,25880879,2121275310450,0.61,005930
2021-02-22,83800,84200,82200,82200,25419886,2113624966100,-0.48,005930
2021-02-23,81200,82900,81100,82000,20587314,1683933027000,-0.24,005930
2021-02-24,81800,83600,81300,82000,26807651,2208585141393,0.0,005930
2021-02-25,84000,85400,83000,85300,34155986,2880259491180,4.02,005930
2021-02-26,82800,83400,82000,82500,38520800,3175845143233,-3.28,005930
2021-03-02,85100,85300,83000,83600,33498180,2823604648915,1.33,005930
2021-03-03,83500,84000,82800,84000,19882132,1659122458768,0.48,005930
2021-03-04,82600,83200,82200,82400,24348331,2010257798200,-1.9,005930
2021-03-05,81100,82600,81100,82100,20508971,1677602868700,-0.36,005930
2021-03-08,82900,83000,81600,82000,17641256,1448480913600,-0.12,005930
2021-03-09,81400,81900,80600,81400,25420764,2066544317650,-0.73,005930
2021-03-10,82400,82500,80700,80900,20038422,1632812662321,-0.61,005930
2021-03-11,81000,82500,81000,82000,23818297,1952164587512,1.36,005930
2021-03-12,83100,83500,82400,82800,13530573,1121128514600,0.98,005930
2021-03-15,82800,82900,81800,81800,13735798,1128533403400,-1.21,005930
2021-03-16,82200,83000,82100,82800,12293537,1014280956368,1.22,005930
2021-03-17,82800,82900,82000,82300,11625146,957444384952,-0.6,005930
2021-03-18,82800,83800,82600,82900,18585244,1545980791426,0.73,005930
2021-03-19,82100,82500,81800,81900,15869700,1301953467700,-1.21,005930
2021-03-22,82000,82300,81700,82000,12670506,1039543136201,0.12,005930
2021-03-23,82600,82900,81800,81800,13299907,1092867144552,-0.24,005930
2021-03-24,81000,81600,80700,81000,17926638,1454204203800,-0.98,005930
2021-03-25,81000,82100,80800,81200,14758826,1200699288823,0.25,005930
2021-03-26,81400,81600,81000,81500,12845778,1044261903000,0.37,005930
2021-03-29,81700,81700,81000,81600,14952134,1216567675700,0.12,005930
2021-03-30,81600,82300,81300,82200,13121698,1074968693016,0.74,005930
